date,05时,06时,07时,08时,09时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时
2017年10月24日,116,597,195,374,748,686,586,502,257,438,501,522,700,576,301,228,184,54,0
2017年10月25日,105,567,126,222,700,812,918,774,630,366,470,435,642,739,389,168,162,83,7
2017年10月26日,118,525,239,400,556,684,712,667,371,457,496,558,778,561,303,226,244,120,2
2017年10月27日,108,419,223,229,734,865,826,605,584,382,392,562,687,883,586,263,260,64,7
2017年10月28日,109,457,157,370,836,860,802,602,562,396,559,681,730,658,384,180,187,130,49
2017年10月29日,103,444,274,168,244,223,530,442,331,458,380,428,476,517,231,311,159,97,13
2017年10月30日,113,427,235,141,265,386,636,317,302,515,174,286,404,399,170,182,135,114,26
2017年10月31日,136,546,319,292,254,351,519,419,372,590,166,391,455,495,224,332,152,76,15
2017年11月1日,75,479,302,142,321,352,677,541,362,410,300,352,327,367,174,356,167,78,6
2017年11月2日,89,581,261,253,313,388,669,601,426,528,220,336,565,466,226,376,160,71,15
2017年11月3日,121,414,252,152,277,425,598,385,357,549,233,325,370,426,123,249,174,88,42
2017年11月4日,93,545,245,341,301,350,680,696,495,531,229,403,315,271,187,292,163,108,17
2017年11月5日,70,335,294,235,288,301,563,579,480,373,313,472,427,461,188,242,72,67,10
2017年11月6日,82,420,250,146,265,397,723,334,334,433,208,314,309,397,173,180,71,76,14
2017年11月7日,167,481,322,241,240,327,549,626,478,542,215,312,426,572,186,310,64,61,19
2017年11月8日,104,449,281,152,315,347,612,554,289,492,189,348,329,465,180,300,82,78,26
2017年11月9日,62,560,312,289,293,354,701,704,384,617,242,366,639,410,221,290,99,75,12
2017年11月10日,89,421,208,180,242,395,707,360,375,411,163,340,343,423,149,140,62,45,11
2017年11月11日,100,540,270,338,247,386,671,603,461,584,216,307,338,310,161,230,74,61,26
2017年11月12日,57,320,282,176,299,278,614,425,392,479,276,436,449,436,175,236,83,100,15
2017年11月13日,57,455,259,118,270,346,721,296,256,470,173,256,296,434,132,213,60,66,17
2017年11月14日,92,585,275,341,263,329,603,631,439,529,236,352,470,407,250,246,100,69,5
2017年11月15日,81,479,241,162,277,387,668,463,380,408,234,309,351,384,120,157,87,114,19
2017年11月16日,143,507,305,325,236,415,652,660,377,636,240,374,510,358,205,274,95,94,14
2017年11月17日,41,520,305,142,211,358,629,345,339,627,205,325,361,370,116,165,150,108,32
2017年11月18日,86,622,214,231,242,449,734,684,396,575,208,278,334,311,169,239,53,58,26
2017年11月19日,62,339,281,178,330,319,580,527,307,434,307,449,483,349,134,212,100,99,14
2017年11月20日,75,418,228,158,279,385,630,327,264,450,171,313,329,387,93,169,103,104,16
2017年11月21日,92,549,293,346,203,306,558,571,379,536,256,308,403,405,178,284,75,78,17
2017年11月22日,74,494,254,135,289,352,731,456,375,460,248,435,279,376,226,303,46,83,26
2017年11月23日,115,517,297,235,189,338,662,485,475,680,294,389,573,419,167,275,109,88,16
2017年11月24日,108,360,219,128,180,374,554,331,248,606,157,320,345,377,174,154,38,44,17
2017年11月25日,73,576,293,269,186,414,678,563,503,577,266,265,262,259,176,189,123,59,8
2017年11月26日,53,337,253,127,358,235,588,439,321,461,314,378,367,417,148,216,76,88,24
2017年11月27日,107,395,263,117,198,311,690,290,289,501,193,290,319,370,105,131,107,133,39
2017年11月28日,91,515,321,263,231,314,587,648,482,516,195,296,317,343,183,248,103,54,9
2017年11月29日,116,441,289,142,267,334,621,430,372,432,202,366,320,396,154,224,56,19,12
2017年11月30日,138,531,347,257,253,322,637,596,413,627,254,360,435,619,218,285,77,60,20
2017年12月1日,84,439,180,174,180,313,598,341,307,525,200,411,329,398,127,173,47,116,31
2017年12月2日,94,553,263,290,230,333,777,536,488,484,243,299,353,307,152,242,79,80,4
2017年12月3日,73,340,271,171,303,285,501,468,330,439,262,422,342,391,177,206,63,95,47
2017年12月4日,100,362,259,101,207,241,481,373,246,412,161,282,274,361,168,131,32,15,14
2017年12月5日,104,514,303,203,268,288,571,574,343,511,171,350,436,419,198,268,96,50,10
2017年12月6日,84,438,271,145,243,369,584,468,373,536,199,286,328,399,175,251,77,99,28
2017年12月7日,89,529,267,347,234,328,528,612,368,626,243,370,481,470,204,258,53,87,20
2017年12月8日,83,368,240,168,200,269,621,349,326,544,192,326,300,356,143,253,77,103,22
2017年12月9日,77,568,310,336,259,295,673,584,513,540,204,322,408,309,109,230,85,68,20
2017年12月10日,64,307,232,161,295,283,559,571,379,544,251,552,370,427,175,225,65,113,35
2017年12月11日,87,391,262,135,195,330,537,305,213,405,206,278,346,373,99,184,57,89,23
2017年12月12日,78,533,204,189,261,311,537,621,374,442,95,224,405,403,145,258,68,96,7
2017年12月13日,86,495,273,146,261,328,571,506,355,516,182,375,356,337,159,258,55,107,22
2017年12月14日,96,501,272,229,235,350,691,672,403,554,206,250,519,352,269,285,94,44,19
2017年12月15日,80,500,215,100,199,308,687,369,308,574,217,346,288,325,88,234,47,111,22
2017年12月16日,86,538,229,229,231,328,707,656,483,569,210,242,381,314,73,176,216,161,13
2017年12月17日,56,303,240,161,319,275,587,536,369,559,347,366,338,415,192,255,131,32,5
2017年12月18日,61,493,211,92,237,294,546,292,272,438,187,261,220,259,103,202,168,125,23
2017年12月19日,82,474,214,205,219,359,595,545,248,185,34,111,144,127,39,133,69,49,1
2017年12月20日,31,189,98,48,94,121,239,127,130,172,97,122,113,141,63,119,60,27,17
2017年12月21日,47,226,80,105,89,126,241,246,130,238,87,105,223,190,75,134,75,36,11
2017年12月22日,22,186,82,45,84,114,240,122,127,180,97,112,92,166,45,73,57,68,13
2017年12月23日,37,207,78,73,81,128,217,211,159,177,78,92,145,127,45,85,60,46,8
2017年12月24日,31,129,107,66,104,80,194,183,113,178,100,127,157,171,58,95,68,28,6
2017年12月25日,36,148,59,33,71,135,202,104,104,156,97,115,126,156,50,77,63,40,7
2017年12月26日,44,164,75,79,78,111,223,206,145,168,46,77,125,106,92,97,79,49,9
2017年12月27日,41,171,119,47,123,127,251,146,115,223,267,313,312,371,102,258,158,101,39
2017年12月28日,116,501,198,146,197,303,521,632,453,519,219,283,558,503,174,368,130,111,25
2017年12月29日,97,388,193,96,153,204,595,400,339,523,227,354,314,376,191,207,171,124,23
2017年12月30日,131,485,204,164,201,361,784,616,441,357,153,226,323,272,129,188,142,79,15
2017年12月31日,57,329,235,120,267,200,416,387,246,361,276,430,274,323,181,271,69,36,2
2018年1月1日,81,331,214,61,82,286,485,294,227,304,144,232,306,416,99,240,146,125,15
2018年1月2日,85,325,216,188,222,303,502,619,364,427,117,210,214,303,130,271,158,46,16
2018年1月3日,97,371,252,122,236,303,478,341,243,418,269,259,239,299,158,247,119,93,10
2018年1月4日,88,471,207,172,239,216,310,434,454,547,176,227,332,229,128,268,154,142,20
2018年1月5日,97,388,246,113,208,390,708,305,288,420,184,271,247,295,143,202,152,118,36
2018年1月6日,140,428,240,181,226,342,597,624,417,511,176,289,215,183,124,267,153,97,1
2018年1月7日,129,531,250,160,232,296,506,388,447,553,289,498,377,411,148,268,114,102,25
2018年1月8日,73,424,253,104,206,303,465,369,271,439,169,324,284,415,166,236,169,105,30
2018年1月9日,89,558,242,225,268,245,570,634,493,456,152,229,467,335,127,339,179,98,16
2018年1月10日,128,466,248,108,261,285,728,341,272,487,263,356,362,418,146,305,178,118,16
2018年1月11日,96,552,286,246,245,274,504,504,458,709,245,327,469,469,198,251,163,113,20
2018年1月12日,74,476,164,171,237,302,755,388,347,501,315,294,339,446,170,290,121,128,41
2018年1月13日,51,608,275,315,220,358,598,558,487,514,218,319,365,316,188,275,201,79,14
2018年1月14日,86,465,251,145,211,302,583,528,395,577,324,441,441,530,187,276,148,98,25
2018年1月15日,87,396,262,102,250,308,674,385,307,466,231,285,269,427,184,235,157,128,40
2018年1月16日,93,554,268,281,275,249,569,551,610,556,157,345,522,399,114,298,240,72,23
2018年1月17日,75,429,298,105,250,309,550,333,304,470,270,440,315,443,211,306,167,117,15
2018年1月18日,81,574,241,259,223,339,545,530,465,717,264,401,651,494,195,322,175,93,15
2018年1月19日,84,450,245,111,200,277,751,394,294,551,200,435,321,409,149,248,125,134,28
2018年1月20日,94,497,225,311,302,303,760,639,414,486,170,242,325,314,133,220,85,93,24
2018年1月21日,110,405,289,183,270,186,555,527,373,389,281,505,330,442,162,234,74,83,22
2018年1月22日,119,388,209,169,233,342,638,439,273,566,316,359,257,438,134,161,117,85,29
2018年1月23日,127,464,349,322,285,295,539,681,524,555,193,326,428,518,165,244,83,89,15
